ORIGIN_PT_CODE,BP10,BP11,BP12,BP13,BP2,BP3,BP4,BP5,BP6/DT1,BP7,BP8,BP9,CC10/DT26,CC11,CC12,CC14,CC16,CC17/TE9,CC19/DT9,CC2,CC20,CC21,CC23,CC24,CC25,CC26,CC27,CC28,CC3,CC4/DT15,CC5,CC6,CC7,CC8,CE1/DT16,CG1/DT35,CG2,DT10,DT13,DT17,DT18,DT2,DT20,DT21,DT22,DT23,DT24,DT25,DT27,DT28,DT29,DT3,DT30,DT31,DT33,DT34,DT4,DT5,DT6,DT7,DT8,EW1,EW10,EW11,EW12/DT14,EW14/NS26,EW15,EW16/NE3/TE17,EW17,EW18,EW19,EW2/DT32,EW20,EW21/CC22,EW22,EW23,EW24/NS1,EW25,EW26,EW27,EW28,EW29,EW3,EW30,EW31,EW32,EW33,EW4,EW5,EW6,EW7,EW8/CC9,EW9,NE1/CC29,NE10,NE11,NE12/CC13,NE13,NE14,NE15,NE16/STC,NE17/PTC,NE18,NE4/DT19,NE5,NE7/DT12,NE8,NE9,NS10,NS11,NS12,NS13,NS14,NS15,NS16,NS17/CC15,NS18,NS19,NS2,NS20,NS21/DT11,NS23,NS24/NE6/CC1,NS25/EW13,NS27/CE2/TE20,NS28,NS3,NS4/BP1,NS5,NS7,NS8,NS9/TE2,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PW1,PW2,PW3,PW4,PW5,PW6,PW7,SE1,SE2,SE3,SE4,SE5,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,TE1,TE11,TE12,TE13,TE14/NS22,TE15,TE16,TE18,TE19,TE22,TE23,TE24,TE25,TE26,TE27,TE28,TE29,TE3,TE4,TE5,TE6,TE7,TE8
BP10,0.0,0.01164805932852364,0.03663697553504494,0.010197090000403046,0.006609971383660473,0.009794042964813994,0.016444319052033373,0.034017169803716094,0.4615291604530249,0.023779775099754142,0.06666397968642941,0.03276772399339003,0.0,4.030470355890533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.060940711781066e-05,0.0008060940711781065,4.030470355890533e-05,4.030470355890533e-05,0.0,4.030470355890533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.060940711781066e-05,8.060940711781066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.030470355890533e-05,0.0,8.060940711781066e-05,0.0,0.0,0.0,0.00012091411067671598,0.0,0.0004836564427068639,0.0009673128854137278,0.00036274233203014794,0.0010076175889726332,0.006247229051630325,0.003587118616742574,0.0,0.002579501027769941,0.003748337430978195,0.0019346257708274556,0.011043488775140059,0.07008987948893636,0.001612188142356213,0.009955261779049615,0.020918141147071863,0.010721051146668817,0.010398613518197574,8.060940711781066e-05,0.007254846640602958,0.003627423320301479,0.0016524928459151183,0.0,0.0,8.060940711781066e-05,0.0,4.030470355890533e-05,4.030470355890533e-05,0.0,4.030470355890533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.030470355890533e-05,0.0,0.0,0.0,0.0,0.007254846640602958,0.004191689170126154,0.0005642658498246745,0.0024585869170932247,0.0003224376284712426,0.00810124541533997,0.0036677280238603845,0.0006448752569424852,0.0,0.00020152351779452663,0.0064890572729837575,0.0004836564427068639,4.030470355890533e-05,4.030470355890533e-05,8.060940711781066e-05,0.0001612188142356213,0.0,0.0,0.007536979565515295,0.045947362057152066,0.010237394703961952,0.010559832332433195,0.0020152351779452664,0.005844182016041272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024182822135343195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.030470355890533e-05,0.0,0.0,0.0,4.030470355890533e-05,0.0,0.0,0.0,0.0013300552174438757,0.001249445810326065,0.00012091411067671598,0.0,8.060940711781066e-05,0.0
BP11,0.009099475823075564,0.0,0.008481064844808293,0.005948524648094705,0.007155898462806997,0.007391483597385005,0.025973261087225395,0.028181871723894223,0.5274456681783379,0.018169503504328877,0.03828258436892632,0.027416220036515695,0.0,0.00014724070911125507,0.0,0.0,0.0,0.0,2.9448141822251015e-05,0.0,2.9448141822251015e-05,0.0,0.0001766888509335061,0.0007362035455562754,8.834442546675305e-05,2.9448141822251015e-05,8.834442546675305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.889628364450203e-05,0.0,0.0,0.0,0.0,0.00014724070911125507,0.00011779256728900406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.889628364450203e-05,0.0,0.0,0.0,0.0,2.9448141822251015e-05,0.00014724070911125507,2.9448141822251015e-05,0.00011779256728900406,0.0007656516873785264,0.00023558513457800812,0.002002473643913069,0.00580128393898345,0.0024147476294245833,5.889628364450203e-05,0.004387773131515401,0.0027092290476470934,0.004917839684315919,0.014017315507391484,0.07373814712291654,0.0006478591200895224,0.00842216856116379,0.015960892867660052,0.01071912362329937,0.013222215678190706,0.0,0.0031215030331586077,0.0033276400259143646,0.002120266211202073,0.0007362035455562754,0.00011779256728900406,2.9448141822251015e-05,2.9448141822251015e-05,2.9448141822251015e-05,2.9448141822251015e-05,2.9448141822251015e-05,5.889628364450203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9448141822251015e-05,0.0,0.0,5.889628364450203e-05,0.00462335826609341,0.004947287826138171,0.0024147476294245833,0.0033865363095588667,0.003209847458625361,0.007685965015607515,0.001973025502090818,5.889628364450203e-05,0.0,0.00011779256728900406,0.012044290005300665,2.9448141822251015e-05,0.0,2.9448141822251015e-05,0.0,5.889628364450203e-05,0.0,0.0,0.005477354378938689,0.03725189940514754,0.014135108074680488,0.008245479710230284,0.001649095942046057,0.011396430885211143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022380587784910774,0.0,0.0,5.889628364450203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232640320395783,0.0003239295600447612,0.0010012368219565345,0.0,0.0,0.0
BP12,0.009942545128560368,0.0035450878122325904,0.0,0.0019151623813210546,0.004563791206552301,0.007049427488692393,0.022737459761215925,0.020007334664439103,0.5617945478994336,0.004889776292734608,0.025549081129538322,0.02937940589218043,0.0,0.00012224440731836518,0.0,0.0,0.0,4.0748135772788395e-05,0.0,0.0,0.0,0.0,0.0,0.00024448881463673037,8.149627154557679e-05,8.149627154557679e-05,0.00040748135772788395,0.0,0.0,4.0748135772788395e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.0748135772788395e-05,0.0,4.0748135772788395e-05,0.00032598508618230716,0.0,0.0,4.0748135772788395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.149627154557679e-05,0.00012224440731836518,0.0,8.149627154557679e-05,0.0,8.149627154557679e-05,0.00020374067886394197,0.0012631922089564403,0.0008149627154557679,0.004278554256142782,0.006519701723646143,0.0025263844179128805,0.0,0.003422843404914225,0.0026078806894584573,0.0034635915406870136,0.014261847520475938,0.07628051016665988,0.0011409478016380752,0.00863860478383114,0.016014017358705838,0.01169471496679027,0.014302595656248727,0.0,0.005297257650462492,0.003422843404914225,0.003422843404914225,0.00024448881463673037,0.0002852369504095188,0.0,0.0,4.0748135772788395e-05,4.0748135772788395e-05,0.0,0.00016299254309115358,0.0,0.0,0.00016299254309115358,0.0,0.0,0.0,0.0,0.0,0.0,8.149627154557679e-05,4.0748135772788395e-05,0.0,0.0,8.149627154557679e-05,0.006804938674055662,0.003952569169960474,0.002363391874821727,0.004034065441506051,0.0035450878122325904,0.010553767165152194,0.0030561101829591295,8.149627154557679e-05,0.0009372071227741331,0.00020374067886394197,0.007416160710647488,8.149627154557679e-05,0.0,0.0,0.0,0.0003667332219550956,0.0,0.0,0.006886434945601239,0.03699930728169186,0.012142944460290942,0.006234464773236624,0.0015076810235931707,0.013243144126156228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0748135772788395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016706735666843242,0.0,0.0,0.0,0.0,4.0748135772788395e-05,4.0748135772788395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027708732325496107,0.0008964589870013447,8.149627154557679e-05,0.0,8.149627154557679e-05,4.0748135772788395e-05
BP13,0.03227413088953083,0.011953381810937344,0.026098216953879868,0.0,0.011455324235481621,0.009861539994023309,0.02111764119932264,0.017930072716406016,0.322542085865126,0.0015937842414583125,0.034067138161171434,0.06982767207889232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005976690905468672,9.961151509114453e-05,0.0,0.0,0.0,0.0,9.961151509114453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004980575754557227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005976690905468672,9.961151509114453e-05,0.0034864030281900587,0.009861539994023309,0.0022910648470963243,9.961151509114453e-05,0.009263870903476442,0.0006972806056380117,0.007769698177109274,0.02679549755951788,0.1339774877975894,0.0019922303018228907,0.021217252714413787,0.021615698774778366,0.020719195138958063,0.022014144835142944,0.0,0.006873194541288973,0.0013945612112760235,0.002789122422552047,0.004781352724374938,9.961151509114453e-05,9.961151509114453e-05,0.0,0.0,9.961151509114453e-05,0.0,9.961151509114453e-05,0.0,9.961151509114453e-05,0.0,0.0,0.0,9.961151509114453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961151509114453e-05,0.007968921207291563,0.006773583026197828,0.00039844606036457814,0.00527941029983066,0.006773583026197828,0.011256101205299332,0.0011953381810937344,0.0,0.00019922303018228907,0.00019922303018228907,0.014244446658033668,9.961151509114453e-05,9.961151509114453e-05,0.0,0.0,0.00019922303018228907,0.0,0.0,0.00966231696384102,0.04193644785337185,0.012252216356210778,0.006474748480924395,0.004582129694192649,0.009164259388385297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005976690905468672,0.0,0.0,0.0,0.00019922303018228907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008965036358203008,0.00019922303018228907,0.0,0.0,0.0002988345452734336,0.0
BP2,0.006975373329840189,0.005698192297615929,0.01100340581608593,0.0016046633481791982,0.0,0.005698192297615929,0.009235001309929264,0.01899397432538643,0.42461357086717316,0.004159025412627718,0.02642782289756353,0.010217448257794078,9.824469478648152e-05,0.003143830233167409,6.549646319098769e-05,0.0009496987162693214,0.00019648938957296305,0.0,3.2748231595493846e-05,3.2748231595493846e-05,6.549646319098769e-05,0.0005239717055279015,0.015555410007859576,0.017422059208802725,0.0007532093266963584,0.002259627980089075,0.006909876866649201,9.824469478648152e-05,0.0,6.549646319098769e-05,6.549646319098769e-05,0.0,0.0,0.0,6.549646319098769e-05,0.0005894681687188892,0.001080691642651297,0.0,9.824469478648152e-05,0.00013099292638197538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.549646319098769e-05,3.2748231595493846e-05,3.2748231595493846e-05,0.0,0.0,0.0,0.0,3.2748231595493846e-05,3.2748231595493846e-05,0.0,0.0,0.0,0.0001637411579774692,0.0002292376211684569,0.0016046633481791982,0.00013099292638197538,0.016832591040083836,0.018371757925072046,0.012739062090647105,0.004060780717841237,0.014114487817657846,0.006516898087503275,0.0008842022530783337,0.013164789101388526,0.01611212994498297,0.0069426250982446945,0.025576368876080693,0.0526591564055541,0.0025543620644485196,0.009136756615142782,0.010544930573749018,0.0047484935813466075,0.014703955986376735,0.0002292376211684569,0.0036678019386953103,0.004028032486245742,0.0036023054755043226,0.0017356562745611736,0.0005894681687188892,0.0011789363374377785,0.00019648938957296305,0.0012444328006287662,0.001670159811370186,0.0009824469478648154,0.0036023054755043226,0.0,3.2748231595493846e-05,0.00026198585276395077,0.0,3.2748231595493846e-05,0.0,0.0,0.0,0.0,0.0005894681687188892,0.0002947340843594446,0.00013099292638197538,0.0,9.824469478648152e-05,0.007597589730154571,0.005992926381975373,0.0024888656012575323,0.0038970395598637675,0.004715745349751114,0.008088813204086978,0.00537070998166099,0.0006549646319098768,0.0023906209064710505,0.0039297877914592615,0.018011527377521614,0.0017684045061566675,0.0001637411579774692,0.00026198585276395077,6.549646319098769e-05,0.005829185223997904,0.0,0.00013099292638197538,0.005010479434110558,0.025576368876080693,0.020958868221116058,0.010119203563007597,0.004191773644223212,0.016406864029342414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2748231595493846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0042572701074141996,0.0,3.2748231595493846e-05,0.0,0.0005239717055279015,0.00013099292638197538,9.824469478648152e-05,0.0009496987162693214,0.0015719151165837044,0.0,0.0,0.00013099292638197538,0.0,0.0003929787791459261,0.0,6.549646319098769e-05,3.2748231595493846e-05,0.002357872674875557,0.002685354990830495,0.0005894681687188892,0.00019648938957296305,0.0006222164003143831,0.0007204610951008645
BP3,0.004618429733890477,0.00437406837230897,0.013537619431615473,0.002687974977396574,0.0054248222271094495,0.0,0.0018815824841776018,0.015443638051951225,0.37844244068127947,0.0027368472497128755,0.017594018033868484,0.004765046550839381,7.330840847445201e-05,7.330840847445201e-05,0.00017105295310705472,0.0,0.0,0.0,4.887227231630135e-05,7.330840847445201e-05,0.0,0.0007819563570608215,0.013806416929355131,0.01519927669036972,0.0015394765779634925,0.003152261564401437,0.0035432397429318477,4.887227231630135e-05,0.0,7.330840847445201e-05,2.4436136158150673e-05,2.4436136158150673e-05,0.0,0.0,2.4436136158150673e-05,7.330840847445201e-05,0.0002687974977396574,0.0,0.0,2.4436136158150673e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.887227231630135e-05,0.0,0.0,0.0,0.0,4.887227231630135e-05,0.0,0.0,4.887227231630135e-05,0.0,0.00012218068079075336,0.0,0.0001954890892652054,4.887227231630135e-05,0.0005864672677956161,0.00029323363389780805,0.00830828629377123,0.022407936857024167,0.009921071280209174,0.0035432397429318477,0.009872199007892872,0.0056936197248491065,0.00017105295310705472,0.013977469882462184,0.02402072184346211,0.005937981086430614,0.02905456589204115,0.06619749285243018,0.004203015419201915,0.01158272853896342,0.014392884197150747,0.00872370060845979,0.0180827407570315,0.0,0.003494367470615546,0.008039488796031571,0.0035676758790899985,0.001637221122596095,4.887227231630135e-05,0.00031766977005595875,0.0,0.0004398504508467121,0.0013195513525401364,0.0006109034039537668,0.0030300808836106834,0.0,0.0,0.0,2.4436136158150673e-05,0.0,0.0,0.0,0.0,2.4436136158150673e-05,0.0005375949954793148,0.0,0.0,0.0,2.4436136158150673e-05,0.011118441951958557,0.006964298805072942,0.0017594018033868484,0.008039488796031571,0.00437406837230897,0.0145150648779415,0.00982332673557657,0.0006353395401119175,0.001197370671749383,0.0021992522542335605,0.01590792463895609,0.0017349656672286978,4.887227231630135e-05,0.0002687974977396574,2.4436136158150673e-05,0.0018082740757031498,0.0,0.0003665420423722601,0.00579136426948171,0.057131686337756275,0.023800796618038755,0.014075214427094787,0.006353395401119175,0.028125992718031425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4436136158150673e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033966229259829437,0.0,0.0,0.0,0.0009041370378515749,2.4436136158150673e-05,0.0,0.00034210590621410944,7.330840847445201e-05,0.0,0.0,0.0,0.0,4.887227231630135e-05,0.0,0.0,0.0,0.0030545170197688342,0.0009285731740097256,0.0009041370378515749,0.0005864672677956161,0.0019548908926520538,0.0005620311316374655
BP4,0.006938053097345132,0.008,0.018831858407079648,0.006017699115044248,0.020672566371681415,0.004672566371681416,0.0,0.02208849557522124,0.44509734513274335,0.00247787610619469,0.021522123893805308,0.009061946902654867,0.0,7.079646017699115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001415929203539823,0.004106194690265487,0.004176991150442478,7.079646017699115e-05,7.079646017699115e-05,0.0013451327433628318,0.0001415929203539823,0.0,7.079646017699115e-05,0.0,7.079646017699115e-05,0.0,0.0,7.079646017699115e-05,0.0,0.0004247787610619469,0.0,7.079646017699115e-05,7.079646017699115e-05,7.079646017699115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.079646017699115e-05,0.0,0.0,7.079646017699115e-05,7.079646017699115e-05,0.0,0.0,0.0,0.0001415929203539823,0.0001415929203539823,0.0,7.079646017699115e-05,7.079646017699115e-05,0.0001415929203539823,0.00035398230088495576,0.00035398230088495576,0.0020530973451327434,0.008212389380530974,0.007504424778761062,0.009345132743362832,0.014017699115044248,0.0058761061946902655,0.00021238938053097346,0.011752212389380531,0.010407079646017699,0.0025486725663716814,0.02654867256637168,0.06463716814159293,0.0036106194690265487,0.007292035398230088,0.014300884955752212,0.007008849557522124,0.018194690265486726,0.0004247787610619469,0.0024070796460176993,0.0017699115044247787,0.0025486725663716814,0.001415929203539823,0.00021238938053097346,0.000495575221238938,0.0,0.00021238938053097346,0.00021238938053097346,7.079646017699115e-05,0.0013451327433628318,0.0,0.0,0.0,0.0,0.0,0.0,7.079646017699115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009699115044247787,0.011256637168141593,0.004672566371681416,0.007292035398230088,0.006088495575221239,0.012176991150442478,0.00552212389380531,0.0002831858407079646,7.079646017699115e-05,0.00021238938053097346,0.010407079646017699,0.0007787610619469027,7.079646017699115e-05,7.079646017699115e-05,0.0,0.00021238938053097346,0.0,7.079646017699115e-05,0.009061946902654867,0.052814159292035395,0.01670796460176991,0.01352212389380531,0.006796460176991151,0.017345132743362832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021238938053097347,0.0,0.0,0.0,0.0001415929203539823,0.0,7.079646017699115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004389380530973451,0.0008495575221238938,0.0016991150442477877,0.0012035398230088497,0.001486725663716814,0.00035398230088495576
BP5,0.04578076603459998,0.02931177759311022,0.07071088615245147,0.006572486212888117,0.015713530256100325,0.017451084082496033,0.013296064062854121,0.0,0.2842789151620458,0.014127068066782504,0.054015260255344866,0.0425322958374254,0.0,0.0003021832741557755,0.0,0.0003021832741557755,0.0,0.0,0.0,0.0,0.0,7.554581853894387e-05,0.00037772909269471935,0.0020397371005514845,0.0,7.554581853894387e-05,7.554581853894387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.554581853894387e-05,0.0,0.0,0.0,0.0,0.00015109163707788774,0.00015109163707788774,0.0,0.0002266374556168316,0.0027196494674019793,0.0004532749112336632,0.002795195285940923,0.009594318954445872,0.006723577849966004,0.0,0.00800785676512805,0.003550653471330362,0.004079474201102969,0.01896200045327491,0.10410213794666465,0.0,0.006119211301654453,0.016695625897106596,0.017602175719573922,0.017904358993729698,0.0,0.003928382564025081,0.0049104782050313515,0.002870741104479867,0.0016620080078567651,0.0,0.0,7.554581853894387e-05,0.0,7.554581853894387e-05,0.0,0.00037772909269471935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.554581853894387e-05,0.0,0.0,0.00015109163707788774,0.00015109163707788774,0.008158948402205938,0.006194757120193397,0.001737553826395709,0.012616151696003627,0.004532749112336632,0.006496940394349173,0.003399561834252474,0.0,0.0003021832741557755,7.554581853894387e-05,0.007479036035355443,0.00015109163707788774,7.554581853894387e-05,0.0,0.0,7.554581853894387e-05,0.0,0.0,0.006723577849966004,0.06444058321371912,0.01541134698194455,0.007856765128050162,0.0021152829190904283,0.01541134698194455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00234192037470726,7.554581853894387e-05,0.0,0.0,0.00015109163707788774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021152829190904283,0.0004532749112336632,0.0,0.00037772909269471935,0.0,0.0
BP6/DT1,0.004119091503306462,0.0034095124809355843,0.005361590870279533,0.0005682520801559307,0.0013956035543725967,0.003206355001501599,0.012342552953438661,0.0015045430723299514,0.0,0.001330828705857413,0.0021522915574817897,0.0032092993127977435,0.0075433255407227695,0.017259552818000342,0.001142392782904151,0.004007207674052962,0.006565814190402723,0.0037422196573999376,0.008559112937892698,0.002535052025980603,0.00282653884429893,0.0035155076875967944,0.019906488673234444,0.029817040496057566,0.005276205842691336,0.005656021999894005,0.011276712264234273,0.0014515454689993464,0.003948321448130068,0.036753837909774524,0.006044671090985108,0.0027470424393030227,0.0030120304559560474,0.001036397576242941,0.018764095890330294,0.006789581848909721,0.0042427525777445395,0.0053704238041679675,0.023775313716368603,0.06664448618823571,0.051572556663270895,0.014306408587967188,0.004484186104028407,0.0014191580447417544,0.00022671196980314335,0.00491699986456168,0.0017312550421330947,0.0019108580311979226,0.005823847743774254,0.005087769919738074,0.0010717293117966777,0.00852966982493125,0.0005299760333060494,0.001507487383626096,0.001507487383626096,0.0017400879760215288,0.0009716227277277572,0.03573510620130845,0.01804568393407098,0.01808984860351315,0.018599214457746188,0.0010717293117966777,0.0018578604278673176,0.009224527290821403,0.05125162673199112,0.011476925432372114,0.016070051054357874,0.015858060641035454,0.000995177218096915,0.0009245137469894417,0.0009598454825431783,0.004493019037916841,0.0008538502758819685,0.014147415777975373,0.00038570477979495816,0.000900959256620284,0.007369611174250231,2.944311296144719e-05,0.00045931256219857613,0.0018725819843480411,0.0010776179343889671,0.0012837197251190974,0.0016193712128795953,0.0003709832233142346,0.0001737143664725384,0.00022965628109928806,0.00012366107443807819,0.0025733280728304844,0.00471089807383155,0.0025379963372767476,0.0021846789817393814,0.011394484716080061,0.0046549561592048,0.014009033147056572,0.0045254064621744325,0.0018902478521249095,0.0047462298093852865,0.0034183454148240186,0.001675313127506345,0.00094217961476631,0.001330828705857413,0.0009657341051354678,0.0046549561592048,0.0200419269928571,0.008146909356432436,0.02664896154140585,0.010661351203340027,0.012245390680665885,0.0005741407027482202,0.00033859579905664265,0.00025909939406073526,0.0003709832233142346,0.00019726885684169616,0.001015787397169928,0.0006771915981132853,0.0012601652347499397,5.299760333060494e-05,5.5941914626749655e-05,0.0003120969973913402,7.066347110747325e-05,0.09833705297993746,8.244071629205212e-05,0.003559672357038965,0.006130056118573305,5.888622592289438e-05,4.122035814602606e-05,0.0007301892014438902,0.004834559148269628,0.0011453370942002955,0.00044459100571785256,0.00013543831962265708,0.0007449107579246139,4.122035814602606e-05,5.5941914626749655e-05,0.00014427125351109123,1.7665867776868312e-05,0.0001854916116571173,0.00018254730036097256,3.8276046849881346e-05,0.00010305089536506516,0.0,5.8886225922894376e-06,0.00010010658406892043,7.066347110747325e-05,4.71089807383155e-05,1.7665867776868312e-05,1.7665867776868312e-05,0.0002031574794339856,2.061017907301303e-05,7.655209369976269e-05,5.8886225922894376e-06,0.0003533173555373663,0.0002178790359147092,1.1777245184578875e-05,6.477484851518382e-05,0.00024437783758001164,8.832933888434157e-05,0.00010305089536506516,0.00021493472461856446,0.00011482814054964403,0.0010393418875390857,0.005635411820820992,0.004157367550156343,0.0023525047256196304,0.0041897549744139345,0.0038158274398035555,0.0049670531565961405,0.0046461232253163665,0.00023848921498772222,0.00013838263091880179,0.0004210365153486948,0.0001707700551763937,0.0014898215158492278,0.00022376765850699862,0.0002797095731337483,7.94964049959074e-05,0.0001413269422149465,0.0002797095731337483,0.000512310165529181,0.0005211430994176153,0.0019344125215670803,0.00293253405096014
BP7,0.04585074626865672,0.029492537313432834,0.045014925373134326,0.005373134328358209,0.01564179104477612,0.01671641791044776,0.029134328358208957,0.014686567164179104,0.25134328358208957,0.0,0.03844776119402985,0.07808955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011940298507462687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023880597014925374,0.0,0.0,0.0,0.0,0.0,0.00011940298507462687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011940298507462687,0.0,0.0,0.00023880597014925374,0.0004776119402985075,0.000955223880597015,0.005014925373134328,0.006328358208955224,0.0,0.00417910447761194,0.0004776119402985075,0.000955223880597015,0.01026865671641791,0.12405970149253731,0.000835820895522388,0.011582089552238805,0.02817910447761194,0.013850746268656717,0.024835820895522387,0.0,0.005850746268656716,0.008835820895522388,0.0037014925373134327,0.0023880597014925373,0.0,0.0,0.0,0.0,0.0,0.00023880597014925374,0.00011940298507462687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046567164179104475,0.00382089552238806,0.0003582089552238806,0.0010746268656716418,0.0014328358208955225,0.008119402985074627,0.003582089552238806,0.0011940298507462687,0.0,0.0,0.005970149253731343,0.0,0.0,0.00011940298507462687,0.0,0.0,0.0,0.0,0.012417910447761193,0.09420895522388059,0.029970149253731343,0.006208955223880597,0.00023880597014925374,0.00191044776119403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011940298507462687,0.00011940298507462687,0.00023880597014925374,0.0,0.0004776119402985075,0.0
