STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR
HARBOURFRONT MRT STATION,NE1/CC29,26678.3445,27555.0595,1.26547264,103.821446,PURPLE
POTONG PASIR MRT STATION,NE10,31977.1677,34842.7289,1.331379525,103.869046,PURPLE
WOODLEIGH MRT STATION,NE11,32173.3186,35706.3794,1.339190046,103.8708081,PURPLE
SERANGOON MRT STATION,NE12/CC13,32480.0726,36869.3924,1.349707875,103.8735637,PURPLE
KOVAN MRT STATION,NE13,33758.7578,38027.2795,1.360179171,103.8850503,PURPLE
HOUGANG MRT STATION,NE14,34572.8759,39256.1311,1.371292292,103.8923636,PURPLE
BUANGKOK MRT STATION,NE15,34655.3132,40537.2069,1.382877858,103.8931042,PURPLE
SENGKANG MRT STATION,NE16/STC,34918.274,41512.1277,1.391694626,103.8954664,PURPLE
PUNGGOL MRT STATION,NE17/PTC,35651.3846,42933.2694,1.404546728,103.902052,PURPLE
CHINATOWN MRT STATION,NE4/DT19,29124.9585,29643.4786,1.284359578,103.8434242,PURPLE
CLARKE QUAY MRT STATION,NE5,29473.1249,30088.7038,1.288386024,103.8465519,PURPLE
LITTLE INDIA MRT STATION,NE7/DT12,29817.1982,32124.8312,1.307198223,103.8485807,PURPLE
FARRER PARK MRT STATION,NE8,30321.3596,32739.6107,1.31235984,103.8541717,PURPLE
BOON KENG MRT STATION,NE9,31157.0712,33517.6089,1.319395706,103.861679,PURPLE
ADMIRALTY MRT STATION,NS10,24402.1063,46918.1131,1.440585001,103.8009982,RED
SEMBAWANG MRT STATION,NS11,26522.9883,47854.1998,1.449050821,103.8200504,RED
CANBERRA MRT STATION,NS12,27597.3086,47196.1838,1.4431,103.8297,RED
YISHUN MRT STATION,NS13,28187.6787,45686.0701,1.429443081,103.8350045,RED
KHATIB MRT STATION,NS14,27962.3108,44352.568,1.41738337,103.83298,RED
YIO CHU KANG MRT STATION,NS15,29294.1283,40413.082,1.381756046,103.8449439,RED
ANG MO KIO MRT STATION,NS16,29807.2655,39105.772,1.369933175,103.8495535,RED
BISHAN MRT STATION,NS17/CC15,29649.8988,36994.433,1.350838988,103.8481398,RED
BRADDELL MRT STATION,NS18,29500.0972,35848.0687,1.340471684,103.8467942,RED
TOA PAYOH MRT STATION,NS19,29578.4408,34980.8638,1.332628987,103.8474979,RED
BUKIT BATOK MRT STATION,NS2,18679.3541,36795.0141,1.349034109,103.74959,RED
NOVENA MRT STATION,NS20,29169.3298,33633.1535,1.320440791,103.8438228,RED
NEWTON MRT STATION,NS21/DT11,28519.3616,32735.2072,1.3123201,103.8379841,RED
ORCHARD MRT STATION,NS22,27880.1256,31813.1134,1.303981012,103.8322417,RED
SOMERSET MRT STATION,NS23,28640.656,31401.6698,1.300260055,103.8390737,RED
DHOBY GHAUT MRT STATION,NS24/NE6/CC1,29424.1448,31229.3143,1.298701307,103.8461119,RED
MARINA BAY MRT STATION,NS27/CE2,30368.2057,28766.3819,1.276427355,103.8545925,RED
MARINA SOUTH PIER MRT STATION,NS28,31287.7063,28203.4939,1.271336711,103.8628525,RED
BUKIT GOMBAK MRT STATION,NS3,18938.3305,37870.6512,1.358761857,103.7519164,RED
CHOA CHU KANG MRT STATION,NS4/BP1,18097.9271,40811.9589,1.385361693,103.744367,RED
YEW TEE MRT STATION,NS5,18438.9791,42158.0124,1.397535018,103.7474307,RED
KRANJI MRT STATION,NS7,20081.6974,45214.5479,1.425177699,103.7621874,RED
MARSILING MRT STATION,NS8,21406.6874,46025.7686,1.432514421,103.77409,RED
WOODLANDS MRT STATION,NS9/TE2,22788.1527,46507.9219,1.436875128,103.7864999,RED
COVE LRT STATION,PE1,36084.2293,42351.1334,1.399281985,103.9059403,GRAY
MERIDIAN LRT STATION,PE2,36416.7925,42089.0886,1.396912053,103.9089277,GRAY
CORAL EDGE LRT STATION,PE3,36820.8455,41757.0642,1.393909226,103.9125574,GRAY
RIVIERA LRT STATION,PE4,37219.8293,41825.1114,1.394524496,103.9161415,GRAY
KADALOOR LRT STATION,PE5,37255.4884,42384.6619,1.399584853,103.9164619,GRAY
OASIS LRT STATION,PE6,36837.1178,42683.4018,1.402286677,103.9127036,GRAY
DAMAI LRT STATION,PE7,36378.1828,43009.3794,1.405234836,103.9085809,GRAY
SAM KEE LRT STATION,PW1,35958.3967,43493.447,1.409612685,103.9048099,GRAY
TECK LEE LRT STATION,PW2,36152.6993,43842.6721,1.412770894,103.9065554,GRAY
PUNGGOL POINT LRT STATION,PW3,36160.8276,44293.5561,1.41684852,103.9066284,GRAY
SAMUDERA LRT STATION,PW4,35660.6597,44188.8482,1.415901719,103.9021353,GRAY
NIBONG LRT STATION,PW5,35455.6286,43743.0854,1.411870458,103.9002935,GRAY
SUMANG LRT STATION,PW6,35260.2918,43365.1308,1.408452426,103.8985387,GRAY
SOO TECK LRT STATION,PW7,35110.1988,42993.1699,1.405088585,103.8971904,GRAY
COMPASSVALE LRT STATION,SE1,35475.5631,41821.5783,1.394493046,103.9004726,GRAY
RUMBIA LRT STATION,SE2,36085.5526,41487.1568,1.391468497,103.9059522,GRAY
BAKAU LRT STATION,SE3,36026.0821,41113.8766,1.388092704,103.9054179,GRAY
KANGKAR LRT STATION,SE4,35662.73,40658.9821,1.383978902,103.9021539,GRAY
RANGGUNG LRT STATION,SE5,35108.5942,40687.1255,1.384233561,103.897176,GRAY
CHENG LIM LRT STATION,SW1,34730.4628,42018.8886,1.396277631,103.8937792,GRAY
FARMWAY LRT STATION,SW2,34230.5193,42117.5716,1.397170196,103.8892882,GRAY
KUPANG LRT STATION,SW3,33334.8164,42232.8408,1.398212828,103.881242,GRAY
THANGGAM LRT STATION,SW4,32709.2689,42133.9003,1.397318155,103.8756226,GRAY
FERNVALE LRT STATION,SW5,32784.2264,41533.2289,1.391885888,103.8762959,GRAY
LAYAR LRT STATION,SW6,33198.3233,41554.6829,1.392079839,103.8800158,GRAY
TONGKANG LRT STATION,SW7,33845.4132,41252.6183,1.389347953,103.8858287,GRAY
RENJONG LRT STATION,SW8,34367.9437,40962.4782,1.386723922,103.8905227,GRAY
WOODLANDS NORTH MRT STATION,TE1,22634.0348,47760.173,1.4482,103.7851,BROWN
WOODLANDS SOUTH MRT STATION,TE3,23607.8309,45444.7113,1.427259979,103.7938631,BROWN
SPRINGLEAF MRT STATION,TE4,,,1.397601886,103.818436,BROWN
LENTOR MRT STATION,TE5,,,1.384623539,103.8368081,BROWN
MAYFLOWER MRT STATION,TE6,,,1.372849388,103.8370045,BROWN
BRIGHT HILL MRT STATION,TE7,,,1.363344712,103.8331791,BROWN
UPPER THOMSON MRT STATION,TE8,,,1.354048742,103.8338426,BROWN
